,ID,AGE,GENDER,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS
0,569520,65+,female,majority,0-9y,high school,upper class,0.629027313918201,True,after 2015,False,True,10238,12000.0,sedan,0,0,0
1,750365,16-25,male,majority,0-9y,none,poverty,0.3577571170184627,False,before 2015,False,False,10238,16000.0,sedan,0,0,0
2,199901,16-25,female,majority,0-9y,high school,working class,0.4931457852181982,True,before 2015,False,False,10238,11000.0,sedan,0,0,0
3,478866,16-25,male,majority,0-9y,university,working class,0.2060128507324556,True,before 2015,False,True,32765,11000.0,sedan,0,0,0
4,731664,26-39,male,majority,10-19y,none,working class,0.3883658881572184,True,before 2015,False,False,32765,12000.0,sedan,2,0,1
5,877557,40-64,female,majority,20-29y,high school,upper class,0.6191273725847388,True,after 2015,False,True,10238,13000.0,sedan,3,0,3
6,930134,65+,male,majority,30y+,high school,upper class,0.4929435502195342,False,after 2015,True,True,10238,13000.0,sedan,7,0,3
7,461006,26-39,female,majority,0-9y,university,working class,0.468689297434465,False,after 2015,False,True,10238,14000.0,sedan,0,0,0
8,68366,40-64,female,majority,20-29y,university,working class,0.5218149362971065,False,before 2015,True,False,10238,13000.0,sedan,0,0,0
9,445911,40-64,female,majority,0-9y,high school,upper class,0.5615310319383646,True,before 2015,False,True,32765,11000.0,sedan,0,0,0
10,275820,65+,male,majority,30y+,high school,upper class,0.6203612640126029,True,after 2015,True,True,10238,10000.0,sedan,6,2,7
11,521399,65+,female,majority,30y+,high school,upper class,0.7298308815593941,True,after 2015,True,False,32765,12000.0,sedan,4,0,0
12,429728,40-64,male,majority,20-29y,high school,upper class,0.6370447435902447,True,before 2015,True,True,10238,8000.0,sedan,4,1,2
13,569640,16-25,female,majority,0-9y,university,upper class,0.59125997174597,True,before 2015,False,True,10238,8000.0,sedan,0,0,0
14,980181,26-39,male,majority,10-19y,high school,middle class,0.4615679630439447,True,before 2015,True,True,10238,12000.0,sedan,0,2,1
15,906223,26-39,female,majority,0-9y,high school,upper class,0.7627979410816134,False,after 2015,True,False,10238,12000.0,sedan,0,0,0
16,517747,65+,male,majority,30y+,university,upper class,0.7961748462456987,True,before 2015,True,True,32765,12000.0,sedan,10,2,1
17,24851,16-25,male,majority,0-9y,none,poverty,0.0,False,before 2015,True,False,32765,12000.0,sedan,0,0,0
18,104086,26-39,female,majority,0-9y,university,upper class,0.6805942795073384,True,before 2015,False,True,32765,12000.0,sedan,0,0,0
19,240658,16-25,female,majority,0-9y,high school,working class,0.4177139816231188,True,before 2015,False,True,10238,18000.0,sedan,0,0,0
20,484399,16-25,female,majority,0-9y,high school,working class,0.4095135306516067,False,before 2015,False,False,10238,17000.0,sedan,0,0,0
21,912828,16-25,male,majority,0-9y,high school,middle class,0.5532600531952381,True,after 2015,True,True,32765,8000.0,sedan,0,0,0
22,892754,40-64,male,majority,20-29y,none,poverty,0.3309502618581893,True,before 2015,True,True,10238,13000.0,sedan,3,1,1
23,217,16-25,male,majority,0-9y,none,poverty,0.0,False,before 2015,False,False,10238,17000.0,sedan,0,0,0
24,633896,65+,male,majority,30y+,high school,upper class,0.5006306604427161,True,before 2015,True,True,32765,7000.0,sedan,13,2,3
25,193110,26-39,female,majority,10-19y,university,middle class,0.5519701813636283,True,before 2015,True,False,10238,14000.0,sports car,0,0,0
26,98515,40-64,male,majority,10-19y,high school,middle class,0.6269960497386653,True,before 2015,False,False,10238,13000.0,sedan,1,1,0
27,165623,26-39,male,majority,10-19y,none,poverty,0.2947974807719967,True,before 2015,True,False,10238,15000.0,sedan,0,0,1
28,493590,26-39,male,majority,10-19y,university,middle class,0.5519504952618395,False,after 2015,False,False,10238,17000.0,sedan,0,0,1
29,389792,65+,male,majority,0-9y,university,upper class,0.649820471216227,True,after 2015,True,True,32765,9000.0,sedan,0,0,0
30,642614,40-64,male,majority,20-29y,high school,middle class,0.5218044346397632,True,after 2015,True,True,92101,7000.0,sedan,2,0,1
31,951465,65+,female,majority,30y+,university,upper class,0.7012683240604196,True,before 2015,True,True,10238,10000.0,sedan,3,1,1
32,496987,16-25,male,majority,0-9y,none,poverty,0.1712440288213211,True,before 2015,True,True,10238,9000.0,sedan,0,0,0
33,732437,16-25,male,majority,0-9y,none,poverty,0.3184419972124171,True,before 2015,False,True,32765,10000.0,sedan,0,0,0
34,146897,26-39,female,majority,0-9y,high school,middle class,0.6046842696715551,True,before 2015,True,True,21217,11000.0,sedan,0,0,0
35,316173,16-25,male,majority,0-9y,university,working class,0.5049948526440377,False,after 2015,False,False,32765,8000.0,sedan,0,0,0
36,9013,26-39,male,majority,10-19y,high school,working class,0.6251466352816216,True,before 2015,False,True,10238,17000.0,sedan,3,0,2
37,511757,40-64,female,majority,10-19y,none,middle class,0.0,True,before 2015,True,True,10238,11000.0,sedan,2,0,1
38,429947,65+,male,majority,30y+,university,upper class,0.0,False,after 2015,False,True,10238,12000.0,sports car,6,0,5
39,485660,40-64,male,majority,10-19y,university,upper class,0.5781305873212035,True,before 2015,False,True,92101,14000.0,sedan,1,0,1
40,80496,65+,male,majority,30y+,high school,upper class,0.7054542902137054,True,before 2015,True,True,10238,10000.0,sedan,5,1,3
41,478336,40-64,male,majority,20-29y,university,upper class,0.6595254905875941,True,after 2015,False,True,10238,16000.0,sedan,4,0,2
42,10843,40-64,male,majority,20-29y,university,upper class,0.5873836120460223,False,after 2015,True,True,32765,9000.0,sedan,10,2,0
43,397446,16-25,male,majority,0-9y,none,poverty,0.4064824253974476,False,before 2015,False,False,10238,16000.0,sedan,0,0,0
44,101678,26-39,female,majority,10-19y,high school,poverty,0.2857471319596469,False,before 2015,False,True,10238,13000.0,sedan,1,0,0
45,231661,40-64,male,majority,20-29y,high school,middle class,0.5022849652731057,False,before 2015,False,False,10238,14000.0,sports car,3,0,4
46,173782,65+,male,majority,20-29y,high school,upper class,0.6256257210210231,True,after 2015,True,True,10238,7000.0,sedan,7,0,5
47,921097,40-64,female,majority,20-29y,university,upper class,0.0,True,after 2015,True,True,92101,11000.0,sedan,3,0,2
48,98839,26-39,female,minority,10-19y,university,working class,0.3931531299744003,True,before 2015,False,True,32765,12000.0,sedan,1,0,0
49,105372,26-39,female,minority,10-19y,none,working class,0.5039497598168121,False,before 2015,False,True,10238,14000.0,sedan,1,0,0
50,888828,40-64,male,majority,20-29y,university,upper class,0.6586274302571438,True,before 2015,True,False,10238,14000.0,sedan,3,0,2
51,37454,26-39,female,majority,0-9y,high school,working class,0.5241464657501199,False,before 2015,False,False,10238,17000.0,sedan,0,0,0
52,370044,65+,male,majority,20-29y,university,upper class,0.5531007570628673,False,after 2015,True,True,32765,7000.0,sedan,9,0,1
53,768282,16-25,female,majority,0-9y,university,working class,0.4475509489142775,False,before 2015,True,True,10238,8000.0,sedan,0,0,0
54,738729,16-25,female,majority,0-9y,none,working class,0.5107331365064207,True,before 2015,True,True,10238,7000.0,sedan,0,0,0
55,437535,26-39,female,majority,10-19y,high school,middle class,0.0,True,after 2015,True,False,10238,15000.0,sedan,0,0,0
56,329536,16-25,female,majority,0-9y,high school,poverty,0.4613735917269193,False,before 2015,False,False,32765,9000.0,sedan,0,0,0
